analysis_identity,weight_mode,fit_stage,n_fit_rows,clipping_fraction,effective_sample_size,effective_sample_fraction
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0438034188034188,160.5168861869856,0.1714923997724205
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,784.8103900327229,0.8384726389238493
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0224358974358974,194.3717808302444,0.2076621590066713
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,800.8298575375113,0.8555874546340932
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0299145299145299,174.87036121867402,0.1868273089943098
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1047.655257037159,0.8394673533951592
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0288461538461538,223.2175368549104,0.1788602058132295
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,777.2134783289779,0.8303562802660021
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0288461538461538,177.49371454388609,0.1896300369058612
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,777.6124858675421,0.8307825703713057
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0235042735042735,188.38797380460773,0.2012692027827005
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,792.3817784990771,0.8465617291656806
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,171.29045820608937,0.183002626288557
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,776.2538830487831,0.8293310716333153
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0277777777777777,175.87036016350837,0.1878956839353721
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1041.0905703817396,0.8342071878058811
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0216346153846153,231.5998694867056,0.1855768184989628
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,779.8328068510756,0.8331547081742261
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0341880341880341,163.55140499063165,0.1747344070412731
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,796.5649361419804,0.851030914681603
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0267094017094017,183.60288022124809,0.1961569233132992
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,775.9493061617407,0.8290056689762186
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,170.6256537563879,0.182292365124346
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,775.1177901769875,0.8281172971976362
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0395299145299145,168.1250704775761,0.1796208017922821
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1042.443326773088,0.8352911272220257
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0264423076923076,221.7915035555741,0.1777175509259408
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,792.1529457175037,0.8463172496981878
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,174.94146423640933,0.1869032737568475
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,776.4026879104351,0.8294900511863623
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0224358974358974,184.65089784563924,0.197276600262435
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,797.6002232350482,0.8521369906357353
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0245726495726495,186.0941591194929,0.1988185460678343
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,779.6067790039856,0.8329132254316085
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0341880341880341,166.90919452385657,0.1783217890212143
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1048.5765804366845,0.8402055932986254
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0232371794871794,230.35607448339684,0.1845801878873372
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,802.0743470415041,0.8569170374375044
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0277777777777777,168.51802369010466,0.1800406236005391
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,791.7373077617541,0.845873192053156
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0384615384615384,158.03594518468486,0.1688418217785094
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,780.594465322856,0.8339684458577521
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,175.7720690863902,0.1877906721008442
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,788.6612815062254,0.8425868392160527
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0277777777777777,175.90226681702205,0.1879297722404082
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1054.2799309893792,0.8447755857286692
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0264423076923076,216.741089155734,0.1736707445158125
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,794.8923993850262,0.8492440164369939
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0395299145299145,162.21756245093556,0.1733093615928798
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,783.605549962094,0.8371854166261687
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0363247863247863,163.12796358914966,0.1742820123815701
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,792.7964812327015,0.8470047876417751
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0288461538461538,172.25208280974465,0.1840300030018639
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,780.2320905475484,0.8335812933200304
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,176.80507655451603,0.1888943125582436
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1050.4881473974792,0.841737297594134
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0304487179487179,212.6868117938237,0.1704221248347946
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,789.9421257431803,0.8439552625461328
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0427350427350427,153.2198474165436,0.1636964181800679
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,784.3120423510786,0.8379402161870498
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0288461538461538,185.5775904567029,0.1982666564708364
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,784.4741121095421,0.8381133676383997
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0416666666666666,163.29515256216706,0.1744606330792383
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,780.1264033130802,0.8334683796079917
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0384615384615384,164.5587819979705,0.1758106645277462
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1046.2247348196956,0.8383211016183458
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0304487179487179,216.31663868950176,0.1733306399755623
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,769.0871944913866,0.8216743530890883
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0363247863247863,166.8844923037646,0.1782953977604322
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,775.7144259398618,0.8287547285682284
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,176.81122714588486,0.1889008837028684
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,801.6765457610525,0.8564920360695005
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0256410256410256,181.58034848548567,0.1939960988092795
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,783.4095245667036,0.8369759877849398
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0256410256410256,179.64516674714878,0.191928596952082
