axis,validation_regime,domain,model_id,context_group,n_rows,n_compounds,n_scaffolds,delta_spearman_observed,delta_spearman_ci_low,delta_spearman_ci_high,delta_spearman_n_valid
target,ood,WIZ,chemistry_plus_provenance,Provenance,150,123,47,-0.012575191242585328,-0.06402915004525908,0.04645746774394338,10000
target,ood,CDK2,chemistry_plus_provenance,Provenance,145,145,102,-0.13587700636499384,-0.2613792912731537,-0.014412074553353285,10000
target,ood,CCNK+CDK12,chemistry_plus_provenance,Provenance,86,73,52,0.021282739137115536,-0.08174594734582148,0.144813227324382,10000
target,ood,IKZF2,chemistry_plus_provenance,Provenance,76,65,32,-0.08300785659953028,-0.3244004268272979,0.08366446862481665,10000
target,ood,IKZF1,chemistry_plus_provenance,Provenance,65,60,34,0.03230266604012616,-0.013972545057823546,0.08980533248712906,10000
target,ood,VAV1,chemistry_plus_biological_assay,Biological/assay,455,404,230,0.07803772181255492,0.028883110676216673,0.13841812164178077,10000
target,ood,CSNK1A1,chemistry_plus_biological_assay,Biological/assay,159,139,68,-0.030945522552252136,-0.07543732265912458,0.01927831307755216,10000
target,ood,GSPT1,chemistry_plus_biological_assay,Biological/assay,154,106,74,-0.3088317045595821,-0.45041488137622043,-0.17115133007232877,10000
target,ood,WIZ,chemistry_plus_biological_assay,Biological/assay,150,123,47,0.15968651943359322,-0.2824454176787223,0.5296330328401032,10000
target,ood,CDK2,chemistry_plus_biological_assay,Biological/assay,145,145,102,-0.22794179182234653,-0.3288238127976977,-0.1272965495077859,10000
target,ood,CCNK+CDK12,chemistry_plus_biological_assay,Biological/assay,86,73,52,0.041449313785677844,-0.060270827593281055,0.19771425828545744,10000
target,ood,IKZF2,chemistry_plus_biological_assay,Biological/assay,76,65,32,-0.09099840979771065,-0.36103698333641265,0.16075336284854697,10000
target,ood,IKZF1,chemistry_plus_biological_assay,Biological/assay,65,60,34,-0.00520348166886897,-0.06799914198658748,0.057073357170148005,10000
target,ood,VAV1,chemistry_plus_missingness,Missingness,455,404,230,0.03478641824503889,-0.001483826732183262,0.08199084502105237,10000
target,ood,CSNK1A1,chemistry_plus_missingness,Missingness,159,139,68,-0.0270132856273054,-0.07703156040339725,0.026111266636906712,10000
target,ood,GSPT1,chemistry_plus_missingness,Missingness,154,106,74,-0.09792372914743062,-0.24288662347223913,0.04069109950424195,10000
target,ood,WIZ,chemistry_plus_missingness,Missingness,150,123,47,0.026186786928418356,-0.024650449796654896,0.08799103079366505,10000
target,ood,CDK2,chemistry_plus_missingness,Missingness,145,145,102,-0.12794120135892134,-0.23598873213896057,-0.01293316617769485,10000
target,ood,CCNK+CDK12,chemistry_plus_missingness,Missingness,86,73,52,-0.023245392860524294,-0.11705232393278306,0.06308644353617388,10000
target,ood,IKZF2,chemistry_plus_missingness,Missingness,76,65,32,-0.16504767177548865,-0.3787793971034771,0.04086483724184506,10000
target,ood,IKZF1,chemistry_plus_missingness,Missingness,65,60,34,-0.047933387712625036,-0.1586170426975,0.04719028070756209,10000
target,ood,VAV1,full_context_extra_trees,Full context,455,404,230,0.01689190857103226,-0.01659100288958567,0.054145564231105094,10000
target,ood,CSNK1A1,full_context_extra_trees,Full context,159,139,68,-0.014983719515995975,-0.058349528052654975,0.045537720369976865,10000
target,ood,GSPT1,full_context_extra_trees,Full context,154,106,74,-0.400835792080756,-0.533170797761689,-0.24672000408248546,10000
target,ood,WIZ,full_context_extra_trees,Full context,150,123,47,0.16435966180453895,-0.23457465857197354,0.4864408204383811,10000
target,ood,CDK2,full_context_extra_trees,Full context,145,145,102,-0.18944981710660747,-0.32052540976569943,-0.0662410789887586,10000
target,ood,CCNK+CDK12,full_context_extra_trees,Full context,86,73,52,0.030918219284718385,-0.08304318603994813,0.1343559466318515,10000
target,ood,IKZF2,full_context_extra_trees,Full context,76,65,32,-0.10572349383575844,-0.36296630838737,0.14928362464027753,10000
target,ood,IKZF1,full_context_extra_trees,Full context,65,60,34,-0.027867129904890237,-0.09430562985576674,0.03093792844302975,10000
