protocol,heldout_group,model_id,param_id,n_train_rows,n_train_unique_smiles,n_train_scaffolds,n_test_rows,n_test_unique_smiles,n_test_scaffolds,spearman,pearson,rmse,mae,r2,calibration_intercept,calibration_slope,rdkit_kept,rdkit_total,rdkit_train_missing,rdkit_eval_missing,context_dim,chemistry_dim,full_dim,permutation_n_strata,permutation_n_singleton_strata,permutation_singleton_row_fraction,permutation_changed_label_fraction,permutation_label_pearson
target_ood,CSNK1A1,full_context_extra_trees,leaf_1_maxfeat_sqrt,1270,998,603,159,139,68,0.1215916894527569,0.1353183090686798,1.0964527523752323,0.9550753235816956,-0.1188983917236328,4.017533364980639,0.4899024344386339,194,217,0,0,319,2242,2561,,,,,
target_ood,CSNK1A1,full_context_label_shuffle,shuffle::leaf_1_maxfeat_sqrt,1270,998,603,159,139,68,-0.1173343502876474,-0.1450745314359665,1.090801788691896,0.9322252869606018,-0.1073948144912719,12.746539126297847,-0.6975662205078726,194,217,0,0,319,2242,2561,86.0,32.0,0.0251968503937007,0.9212598425196852,0.3339352756655921
target_ood,GSPT1,global_mean,global,1357,1031,596,154,106,74,,,1.1731558348678668,0.9512718319892884,-0.0044960975646972,,,195,217,0,0,309,2243,2552,,,,,
target_ood,GSPT1,hierarchical_context_mean,smoothing_2,1357,1031,596,154,106,74,,,1.1731558348678668,0.9512718319892884,-0.0044960975646972,,,195,217,0,0,309,2243,2552,,,,,
target_ood,GSPT1,context_ridge,alpha_10,1357,1031,596,154,106,74,-0.4580185764019832,-0.3641925752162933,1.2806403873053491,1.071617603302002,-0.1969919204711914,20.304302326286475,-1.744100252824089,195,217,0,0,309,2243,2552,,,,,
target_ood,GSPT1,context_extra_trees,leaf_1_maxfeat_sqrt,1357,1031,596,154,106,74,0.0035551140439202,0.0471609532833099,1.1966901830702013,0.9757981896400452,-0.0452021360397338,4.53687088889411,0.3726271037149831,195,217,0,0,309,2243,2552,,,,,
target_ood,GSPT1,morgan_knn,k_1_power_1,1357,1031,596,154,106,74,0.0488397932716842,0.1513850688934326,1.3673810549374508,1.1403694152832031,-0.3646332025527954,5.926904154835542,0.2013198076469358,195,217,0,0,309,2243,2552,,,,,
target_ood,GSPT1,chemistry_extra_trees,leaf_1_maxfeat_sqrt,1357,1031,596,154,106,74,0.2150641861872378,0.1784296929836273,1.1536902884822604,0.9564192891120912,0.028561532497406,-0.7663039861590302,1.1135342371760035,195,217,0,0,309,2243,2552,,,,,
target_ood,GSPT1,full_context_extra_trees,leaf_1_maxfeat_sqrt,1357,1031,596,154,106,74,-0.1857716058935181,-0.1589218080043792,1.2076796484521557,1.0030291080474854,-0.0644868612289428,15.793530636649592,-1.1490341071476615,195,217,0,0,309,2243,2552,,,,,
target_ood,GSPT1,full_context_label_shuffle,shuffle::leaf_1_maxfeat_sqrt,1357,1031,596,154,106,74,-0.086976748309869,-0.0746810436248779,1.2024156535301636,1.0028940439224243,-0.0552273988723754,10.904135696917288,-0.4728798601959794,195,217,0,0,309,2243,2552,86.0,30.0,0.0221075902726602,0.9233603537214444,0.3120630129225683
target_ood,WIZ,global_mean,global,1409,1014,620,150,123,47,,,0.5312778241220018,0.4204083085060119,-0.1005089282989502,,,196,217,0,0,332,2244,2576,,,,,
target_ood,WIZ,hierarchical_context_mean,smoothing_2,1409,1014,620,150,123,47,,,0.5312778241220018,0.4204083085060119,-0.1005089282989502,,,196,217,0,0,332,2244,2576,,,,,
target_ood,WIZ,context_ridge,alpha_10,1409,1014,620,150,123,47,-0.1323788367689178,-0.2181541919708252,0.5223857504675687,0.3967823386192322,-0.0639784336090087,23.87976251409894,-2.186844579043101,196,217,0,0,332,2244,2576,,,,,
target_ood,WIZ,context_extra_trees,leaf_1_maxfeat_sqrt,1409,1014,620,150,123,47,-0.0154830646732893,-0.0737636461853981,0.5725997886562058,0.4319920837879181,-0.2783582210540771,16.406803675799956,-1.1594786258919978,196,217,0,0,332,2244,2576,,,,,
target_ood,WIZ,morgan_knn,k_5_power_1,1409,1014,620,150,123,47,-0.1471425523327408,-0.2169753760099411,0.813756777710237,0.6382972002029419,-1.581900119781494,9.094520012155686,-0.2144635771242836,196,217,0,0,332,2244,2576,,,,,
target_ood,WIZ,chemistry_extra_trees,leaf_10_maxfeat_0p3,1409,1014,620,150,123,47,0.0050631853527195,0.0138108022511005,0.5664242182545282,0.4593243300914764,-0.2509323358535766,7.2352994581014896,0.0293960318929272,196,217,0,0,332,2244,2576,,,,,
