analysis_identity,regime,protocol,similarity_bin,heldout_group,model_id,n_rows,n_unique_smiles,n_scaffolds,spearman,rmse,mae,spearman_non_estimable_reason,rmse_non_estimable_reason,mae_non_estimable_reason
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,TPDdb,chemistry_extra_trees,53,53,29,0.216346254653076,1.32189863851193,1.1400398848191746,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,MGDB,full_context_extra_trees,116,108,78,-0.2056784893622367,0.7989121254396164,0.595698751252273,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,MGTbind,full_context_extra_trees,124,90,54,-0.1571224665520346,1.1817426839707768,0.9858711573385424,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,MolGlueDB,full_context_extra_trees,139,115,74,0.2634282176294887,1.0794275988040385,0.8827241479064063,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.4_to_lt_0.6,TPDdb,full_context_extra_trees,53,53,29,-0.2741973804074814,1.4011729132798876,1.240942118302831,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,MGDB,chemistry_extra_trees,31,29,23,0.6508135444914793,0.9133482071862824,0.7460699696694651,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,MGTbind,chemistry_extra_trees,57,26,11,0.0112465428335536,0.8979761605771676,0.7645666139167652,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,MolGlueDB,chemistry_extra_trees,64,60,36,-0.0296458309337286,1.1395907664458458,0.957583025097847,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,TPDdb,chemistry_extra_trees,55,55,27,0.2088836016334007,0.9384764085452362,0.6720684658397328,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,MGDB,full_context_extra_trees,31,29,23,0.4143895008747259,1.0305108194652224,0.8211261226284888,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,MGTbind,full_context_extra_trees,57,26,11,-0.0839222049193726,0.9923271519052178,0.8283842571994715,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,MolGlueDB,full_context_extra_trees,64,60,36,-0.0093318833029397,0.9965786356185868,0.8217463791370392,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.6_to_lt_0.8,TPDdb,full_context_extra_trees,55,55,27,0.1560943963838472,0.9556487236582188,0.6925650683316318,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,MGDB,chemistry_extra_trees,11,9,9,-0.0733975843417573,1.2341470986000973,0.9991728609258476,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,MGTbind,chemistry_extra_trees,29,17,16,-0.038114538666798,1.119939944095039,0.8592525679489662,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,MolGlueDB,chemistry_extra_trees,19,16,14,-0.085463384344728,0.821493167234046,0.6335614354986894,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,TPDdb,chemistry_extra_trees,8,8,6,0.5476190476190477,0.5416147245627639,0.4385904669761659,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,MGDB,full_context_extra_trees,11,9,9,-0.0182232819031282,1.2383969301590332,1.0216256054964932,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,MGTbind,full_context_extra_trees,29,17,16,0.0869779534581599,1.0605368513307942,0.812991816422035,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,MolGlueDB,full_context_extra_trees,19,16,14,0.075438596491228,0.6319037941337491,0.5037269843252081,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.8_to_1.000001,TPDdb,full_context_extra_trees,8,8,6,0.7142857142857144,0.4839092536083249,0.3955418467521667,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,CCNK+CDK12,chemistry_extra_trees,86,73,52,0.3039800307735974,0.8000070370031315,0.6575308677762054,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,CDK2,chemistry_extra_trees,57,57,43,0.1011197719518052,0.4203984500004321,0.3512123258490311,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,CSNK1A1,chemistry_extra_trees,2,2,2,,1.6443242828569098,1.621124505996704,fewer_than_3_rows,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,GSPT1,chemistry_extra_trees,23,19,18,0.0363128473695083,1.123129314096635,0.8137114151664402,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,IKZF2,chemistry_extra_trees,4,2,1,-1.0,1.4435135942027204,1.3859202861785889,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,VAV1,chemistry_extra_trees,444,395,224,0.1787712189504653,1.0233323388265572,0.7999354676083401,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,WIZ,chemistry_extra_trees,128,115,44,0.2242418087067869,0.5318134114194571,0.4233029782772064,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,CCNK+CDK12,full_context_extra_trees,86,73,52,0.3348982500583158,0.8188423824829099,0.6783897045046784,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,CDK2,full_context_extra_trees,57,57,43,-0.0711403523827604,0.4357724921339107,0.3596808617575127,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,CSNK1A1,full_context_extra_trees,2,2,2,,1.65934015686119,1.6350247859954834,fewer_than_3_rows,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,GSPT1,full_context_extra_trees,23,19,18,0.303680565043809,1.1125132901453945,0.8030287493830142,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,IKZF2,full_context_extra_trees,4,2,1,-0.8944271909999159,1.5449268953056456,1.492879152297974,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,VAV1,full_context_extra_trees,444,395,224,0.1933375853174468,1.025931851965729,0.7909019798845858,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.0_to_lt_0.4,WIZ,full_context_extra_trees,128,115,44,0.0568679154037807,0.4912431271048775,0.3872342742979526,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,CDK2,chemistry_extra_trees,85,85,65,-0.1000982025525067,0.5858441440706189,0.4422560243045582,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,CSNK1A1,chemistry_extra_trees,149,131,65,0.1161422469306672,1.0586017028742485,0.9246010812336968,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,GSPT1,chemistry_extra_trees,107,68,48,0.2715045833068351,1.1510209547371817,0.9734260523430656,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,IKZF1,chemistry_extra_trees,31,28,18,0.1446585299401195,0.8935302339742672,0.718906202623921,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,IKZF2,chemistry_extra_trees,49,43,25,-0.1161757963700305,1.0394566022246297,0.8746623019782864,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,VAV1,chemistry_extra_trees,11,9,8,-0.0642201834862385,0.8541606743179538,0.7044797810641202,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,WIZ,chemistry_extra_trees,22,8,3,0.753867624118021,0.736199923066674,0.6689032858068292,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,CDK2,full_context_extra_trees,85,85,65,-0.2747912585105032,0.6112114117887922,0.4664348153507007,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,CSNK1A1,full_context_extra_trees,149,131,65,0.0341372370289306,1.0805547677230751,0.9488753824426024,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,GSPT1,full_context_extra_trees,107,68,48,-0.1276567630975304,1.21088838849435,1.022714142487428,,,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,target_ood,0.4_to_lt_0.6,IKZF1,full_context_extra_trees,31,28,18,0.0580879434110543,0.9164482041059748,0.7347427491218813,,,
